Lodin_ID,Password,order,Order_price,shipping_adress
1032192027,san123,crocin,2000,khadki 
1032192028,xyz,sumo,1000,pimpri
1032192029,abc,Glycerol,2000,katraj
1032192030,def,Metacresol,2500,viman nagar
1032192031,shj,Sucrose,1750,kothrud
1032192032,aou,Phenol,1850,khadki 
1032192033,qrt,Trometamol,1950,pimpri
1032192034,cjh,Maltose,2050,katraj
1032192035,avi,"Polysorbate 
",2150,viman nagar
1032192036,bzq,DEXTROSE,2250,kothrud
1032192037,cpo,SALICYLIC ACID,2350,khadki 
1032192038,abv,LACTIC ACID,2450,pimpri
1032192039,bew,COD-LIVER OIL,2550,katraj
1032192040,cqw,TETRACYCLINE,2650,viman nagar
1032192041,asa,FSH,2750,kothrud
1032192042,bfa,FOLIC ACID,2850,khadki 
1032192043,czi,ATENOLOL,2950,pimpri
1032192044,api,BILASTINE,3050,katraj
1032192045,bas,CALCIUM CARBONATE,3150,viman nagar
1032192046,des,MARAVIROC,3250,kothrud
1032192047,coe,PROTEIN C,3350,khadki 
1032192048,mit,CETRIMIDE,3450,pimpri
1032192049,vit ,ISOTRETINOIN,3550,katraj
1032192050,nit,DANAZOL,3650,viman nagar
1032192051,iit,DEXTRAN 40,3750,kothrud
1032192052,ica,DEXTRAN 70,3850,khadki 
1032192053,alo,DIOSMIN,3950,pimpri
1032192054,bvc,Ginger oil,4050,katraj
1032192055,cuy,FENTANYL,4150,viman nagar
1032192056,aki,PHENYTOIN,4250,kothrud
1032192057,baz,VITAMIN E ,4350,khadki 
1032192058,csf,PARACETAMOL,4450,pimpri
1032192059,afg,GLUCOSE,4550,katraj
1032192060,bkl,AMINO ACIDS,4650,viman nagar
1032192061,cmi,HYDRALAZINE,4750,kothrud
1032192062,aza,IRON,4850,khadki 
1032192063,bvx,Sorbitol,4950,pimpri
1032192064,caa,IRON SORBITOL,5050,katraj
1032192065,aaq,JOSAMYCIN,5150,viman nagar
1032192066,blj,SALICYLIC ACID,5250,kothrud
1032192067,coi,KETOTIFEN,5350,khadki 
1032192068,cxa,VITAMIN K1 ,5450,pimpri
1032192069,pol,LINDANE,5550,katraj
1032192070,alk,LACTOSE,5650,viman nagar
1032192071,ald,LACTULOSE,5750,kothrud
1032192072,ibc,LITHIUM CITRATE,5850,khadki 
1032192073,kji,MINOXIDIL,5950,pimpri
1032192074,zxd,BROMHEXINE,6050,katraj
1032192075,qwg,ACITRETIN,6150,viman nagar
1032192076,ckf,VITAMIN B6 ,6250,kothrud
